"ID","Sexo","Edad","Fuma","Estatura","Colegio","Estrato","Financiacion","Acumulado","Gastos","Ingreso","Clases","Pandemia","Clases_virtuales","Estadistica","Inseguridad","vida_cotidiana","Puntaje"
"SB11201910010435","Femenino",21,"No","Alta","Privado",1,"Beca",3.92,48,0.61,"Virtual","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","De acuerdo",81
"SB11201910004475","Masculino",21,"Si","Baja","Privado",2,"Beca",3.96,72,2.07,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","Totalmente en desacuerdo",78
"SB11201910011427","Masculino",21,"Si","Alta","Privado",2,"Beca",3.85,85,0.84,"Virtual","De acuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","De acuerdo",77
"SB11201910041975","Masculino",18,"Si","Alta","Privado",2,"Beca",3.69,56,1.55,"Virtual","De acuerdo","De acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","De acuerdo",70
"SB11201910013623","Femenino",17,"Si","Alta","Privado",1,"Beca",4.01,64,2.32,"Virtual","Ni de acuerdo, ni en desacuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","Indeciso",68
"SB11201910038122","Femenino",16,"No","Baja","Privado",2,"Beca",3.8,63,2.1,"Presencial","De acuerdo","De acuerdo","De acuerdo","Indeciso","De acuerdo",65
"SB11201910037905","Femenino",19,"Si","Baja","Privado",1,"Beca",4.35,40,0.69,"Presencial","De acuerdo","En desacuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo",54
"SB11201910038140","Femenino",19,"Si","Media","Privado",1,"Beca",3.76,65,2.18,"Virtual","De acuerdo","Totalmente de acuerdo","De acuerdo","Indeciso","Indeciso",50
"SB11201910038005","Femenino",17,"Si","Media","Privado",2,"Beca",3.57,37,0.71,"Virtual","En desacuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","En desacuerdo",36
"SB11201910037919","Masculino",20,"Si","Media","Privado",1,"Beca",3.15,63,2.1,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","Indeciso",35
"SB11201910038100","Femenino",21,"No","Media","Privado",1,"Beca",3.8,76,1.22,"Virtual","En desacuerdo","De acuerdo","Totalmente en desacuerdo","Indeciso","En desacuerdo",35
"SB11201910038016","Femenino",17,"Si","Media","Privado",1,"Beca",3.09,50,1.75,"Presencial","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","Indeciso",34
"SB11201910037882","Masculino",18,"Si","Media","Privado",2,"Beca",3.65,47,1.58,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","Indeciso","Totalmente de acuerdo",30
"SB11201910037986","Femenino",19,"Si","Media","Privado",1,"Beca",3.13,32,1.09,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","De acuerdo",28
"SB11201910038042","Masculino",20,"No","Media","Privado",1,"Beca",3.49,53,1.79,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","En desacuerdo",28
"SB11201910038080","Masculino",17,"No","Media","Privado",1,"Beca",2.91,42,1.4,"Virtual","De acuerdo","En desacuerdo","Indeciso","Indeciso","De acuerdo",28
"SB11201910038156","Femenino",18,"No","Media","Privado",2,"Beca",3.09,43,1.17,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","De acuerdo",28
"SB11201910038060","Masculino",19,"No","Alta","Privado",1,"Beca",2.97,33,1.13,"Presencial","De acuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","Indeciso",26
"SB11201910038286","Masculino",25,"No","Media","Privado",2,"Beca",2.98,60,0.36,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Totalmente de acuerdo","En desacuerdo","De acuerdo",26
"SB11201910040310","Masculino",21,"Si","Media","Privado",1,"Beca",3.78,39,1.32,"Presencial","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo",25
"SB11201910044292","Femenino",19,"No","Alta","Privado",1,"Beca",4.05,41,1.39,"Presencial","De acuerdo","De acuerdo","En desacuerdo","Totalmente de acuerdo","Indeciso",24
"SB11201910040447","Femenino",21,"No","Media","Privado",1,"Beca",4.12,73,2.45,"Virtual","De acuerdo","En desacuerdo","Indeciso","En desacuerdo","De acuerdo",24
"SB11201910038184","Femenino",21,"No","Baja","Privado",1,"Beca",4.14,70,0.53,"Presencial","De acuerdo","Totalmente de acuerdo","Indeciso","De acuerdo","De acuerdo",24
"SB11201910040312","Masculino",20,"No","Baja","Privado",1,"Beca",3.54,58,1.95,"Presencial","De acuerdo","En desacuerdo","Indeciso","Indeciso","Indeciso",22
"SB11201910038266","Femenino",16,"No","Media","Privado",1,"Beca",3.15,46,0.55,"Virtual","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","De acuerdo",20
"SB11201910038217","Femenino",21,"No","Media","Privado",1,"Beca",4.65,44,1.57,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","Totalmente en desacuerdo","Totalmente en desacuerdo",20
"SB11201910038310","Femenino",16,"No","Media","Privado",1,"Beca",4.07,59,0.99,"Presencial","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo",19
"SB11201910037009","Femenino",22,"Si","Media","Privado",1,"Beca",2.92,33,1.02,"Virtual","Ni de acuerdo, ni en desacuerdo","En desacuerdo","De acuerdo","Indeciso","Totalmente en desacuerdo",18
"SB11201910036872","Masculino",18,"Si","Baja","Privado",1,"Beca",2.67,34,1.16,"Presencial","De acuerdo","En desacuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo",18
"SB11201910040576","Femenino",22,"Si","Baja","Privado",1,"Beca",4.1,44,1.49,"Presencial","De acuerdo","Totalmente en desacuerdo","De acuerdo","En desacuerdo","De acuerdo",17
"SB11201910037487","Femenino",19,"Si","Alta","Privado",1,"Beca",2.91,66,1.22,"Presencial","Ni de acuerdo, ni en desacuerdo","En desacuerdo","Indeciso","Totalmente de acuerdo","De acuerdo",17
"SB11201910042901","Masculino",22,"Si","Media","Privado",1,"Beca",3.7,31,1.06,"Presencial","De acuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","De acuerdo","Indeciso",12
"SB11201910036704","Femenino",21,"Si","Media","Privado",1,"Beca",4.34,53,0.78,"Presencial","De acuerdo","De acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo",10
"SB11201910036941","Masculino",17,"Si","Baja","Privado",1,"Beca",2.82,65,2.2,"Virtual","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Indeciso",10
"SB11201910036898","Femenino",19,"Si","Media","Privado",1,"Beca",2.94,35,1.18,"Presencial","De acuerdo","Totalmente en desacuerdo","Indeciso","De acuerdo","Indeciso",9
"SB11201910038516","Masculino",18,"No","Alta","Privado",1,"Beca",3.64,39,1.09,"Presencial","En desacuerdo","Ni de acuerdo, ni en desacuerdo","Indeciso","En desacuerdo","De acuerdo",9
"SB11201910036930","Femenino",28,"Si","Alta","Privado",3,"Beca",4.33,80,2.76,"Presencial","De acuerdo","En desacuerdo","En desacuerdo","Totalmente de acuerdo","De acuerdo",10
"SB11201910037000","Femenino",21,"Si","Alta","Privado",1,"Beca",4.28,79,2.65,"Presencial","De acuerdo","De acuerdo","De acuerdo","Indeciso","Totalmente de acuerdo",12
"SB11201910036683","Masculino",19,"Si","Alta","Privado",1,"Beca",4.07,57,0.93,"Presencial","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo",14
"SB11201910037198","Femenino",17,"Si","Media","Privado",2,"Beca",3.18,74,2.27,"Presencial","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo",18
"SB11201910038551","Masculino",18,"Si","Media","Privado",1,"Beca",3.45,46,1.56,"Presencial","De acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo",16
